title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,time_signature,valence,tempo
Parabens                                                                                                                                                                          - Marcos Valle                                    ,0.8268268268268268,0.5955955955955956,0.6341341341341341,0.43006413006413,1.0,0.31731731731731727,0.3337337337337338,0.6955409929461827,0.2272272272272272,0.5385385385385385,0.5565565565565566,0.39919199137196376
O Amor Em Paz                                                                                                                                                                     - Cannonball Adderley                             ,0.7422422422422423,0.15780062583817614,0.8058058058058057,0.2072072072072072,0.0,0.14164164164164164,0.933933933933934,0.8743743743743744,0.43843843843843844,0.5385385385385385,0.5202322778944304,0.48811745762496106
Once Again                                                                                                                                                                        - Stan Getz                                       ,0.6341341341341342,0.1781781781781782,0.7217217217217218,0.155151223173546,1.0,0.21521521521521522,0.848211881338929,0.6296296296296297,0.1518184851518185,0.5385385385385385,0.6626626626626626,0.1596606343567214
Mariana                                                                                                                                                                           - Bïa                                             ,0.9469469469469469,0.22022022022022023,1.0,0.4183652218943915,0.0,0.7672672672672672,0.7326776933392938,0.0,0.7442457517758723,0.5385385385385385,0.8773773773773774,0.8015786579616372
Mariana                                                                                                                                                                           - Seu Jorge                                       ,0.6231231231231231,0.2826309675624744,0.8058058058058057,0.27759178969321113,0.0,0.22072072072072074,0.7419634220786959,0.703953953953954,0.35235235235235235,0.5385385385385385,0.9604604604604605,0.9218355668359219
Carnaval Inesquecível Na Cidade Alta                                                                                                                                              - Mundo Livre S/A                                 ,0.8413413413413413,0.3078078078078078,0.0,0.3257438054056735,1.0,0.5459265837443146,0.44035846724351047,0.4997879960473477,0.039166985097439815,0.5385385385385385,0.7627627627627628,0.8663170180334053
Garota De Ipanema                                                                                                                                                                 - Leila Pinheiro                                  ,0.8178178178178178,0.09559559559559559,0.8058058058058057,0.09009009009009009,1.0,0.45145145145145144,0.8618618618618619,0.3383383383383383,0.5245245245245245,0.5385385385385385,0.6411411411411412,0.7733652655046892
Corcovado - Remastered                                                                                                                                                            - Cannonball Adderley                             ,0.8798798798798799,0.15589660743134087,0.6341341341341341,0.11173976911487049,1.0,0.3993993993993994,0.8023023023023024,0.7540530003687899,0.8148148148148149,0.5385385385385385,0.8078078078078078,0.5645660365412014
O Pato (The Duck) - Live At Carnegie Hall/1964                                                                                                                                    - João Gilberto                                   ,0.6306306306306306,0.11041573535985694,0.27127127127127126,0.043032907843900764,1.0,0.5535535535535535,0.8618618618618619,0.8178178178178178,0.9830037082818294,0.5385385385385385,0.9269269269269269,0.928928462246255
August Day Song                                                                                                                                                                   - Bebel Gilberto                                  ,0.7997997997997998,0.16227070443937913,0.3918918918918919,0.18182689383513273,0.0,0.24074074074074076,0.7631450257597048,0.5480943137314221,0.496996996996997,0.5385385385385385,0.29979979979979976,0.3285764832565633
